Date,ID,Name,Neo Reference ID,NASA JPL URL,Absolute Magnitude H,Estimated Diameter Min (km),Estimated Diameter Max (km),Is Potentially Hazardous Asteroid,Close Approach Date Full,Relative Velocity (km/h),Miss Distance (astronomical units),Miss Distance (kilometers),Orbiting Body
2023-02-10,3841900,(2019 JD7),3841900,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3841900,21.89,0.1113153296,0.2489086439,False,2023-Feb-10 00:13,77738.1590894342,0.4228242397,63253605.643489439,Earth
2023-02-10,3844022,(2019 SH3),3844022,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3844022,25.6,0.0201629919,0.0450858206,False,2023-Feb-10 02:22,85511.0377879524,0.3517001151,52613588.097714837,Earth
2023-02-10,3972419,(2020 AT),3972419,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3972419,25.2,0.0242412481,0.0542050786,False,2023-Feb-10 15:37,29778.1759281243,0.3150612482,47132491.650261334,Earth
2023-02-10,54190077,(2021 QL1),54190077,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54190077,24.04,0.0413575665,0.0924783301,False,2023-Feb-10 16:27,41934.1741614788,0.1678599013,25111483.692890231,Earth
2023-02-10,54339878,(2023 BR1),54339878,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54339878,24.05,0.0411675457,0.0920534307,False,2023-Feb-10 16:47,44667.835240207,0.0556358929,8323011.073388123,Earth
2023-02-10,54340710,(2023 CD),54340710,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54340710,24.06,0.040978398,0.0916304836,False,2023-Feb-10 01:13,21237.2991068134,0.0952581348,14250414.066252876,Earth
2023-02-10,54341438,(2023 CQ),54341438,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341438,27.74,0.0075258399,0.0168282897,False,2023-Feb-10 06:54,32966.4422831311,0.0038129291,570406.071821017,Earth
2023-02-10,54341462,(2023 CB1),54341462,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341462,26.92,0.0109788026,0.0245493489,False,2023-Feb-10 04:37,25611.5926562889,0.0177204109,2650935.726164783,Earth
2023-02-10,54341589,(2023 CY2),54341589,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341589,28.09,0.0064055286,0.0143231974,False,2023-Feb-10 10:34,45407.9444465786,0.0072910016,1090718.309526592,Earth
2023-02-10,54341663,(2023 CZ3),54341663,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341663,27.45,0.0086011194,0.0192326877,False,2023-Feb-10 04:20,12297.4086481778,0.0203981776,3051523.920841712,Earth
2023-02-10,54352939,(2023 FC7),54352939,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54352939,23.15,0.0623096019,0.1393285055,False,2023-Feb-10 23:57,39651.5792805329,0.157081198,23499012.63784826,Earth
2023-02-10,54406851,(2023 WS),54406851,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54406851,22.0,0.1058168859,0.2366137501,False,2023-Feb-10 07:16,58657.4925186535,0.4311282771,64495871.950929777,Earth
2023-02-10,54424573,(2024 CL1),54424573,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54424573,25.863,0.0178630238,0.0399429355,False,2023-Feb-10 16:42,61962.3523144818,0.102036431,15264432.74000197,Earth
2023-02-06,3017729,(1999 CG9),3017729,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3017729,25.2,0.0242412481,0.0542050786,False,2023-Feb-06 05:55,39113.6152164415,0.3293246465,49266265.654902955,Earth
2023-02-06,3448109,(2009 DB12),3448109,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3448109,21.27,0.1480999721,0.331161605,False,2023-Feb-06 12:24,58698.2180831962,0.3219167617,48158061.867617579,Earth
2023-02-06,3597505,(2012 AT22),3597505,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3597505,20.31,0.2304384666,0.5152760759,False,2023-Feb-06 00:24,77804.0154652972,0.4936712035,73852160.523936545,Earth
2023-02-06,3660062,(2014 BU43),3660062,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3660062,26.6,0.0127219879,0.0284472297,False,2023-Feb-06 01:05,67405.7329274596,0.2757156161,41246468.894297707,Earth
2023-02-06,3714538,(2015 FQ118),3714538,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3714538,20.65,0.1970402621,0.4405954204,False,2023-Feb-06 20:34,63427.6359357678,0.3426477537,51259374.113804619,Earth
2023-02-06,3767259,(2017 BP32),3767259,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3767259,23.38,0.0560473362,0.1253256538,False,2023-Feb-06 20:04,46634.8353200183,0.0704138215,10533757.714960205,Earth
2023-02-06,54097669,(2020 WT5),54097669,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54097669,22.25,0.0943093989,0.2108822268,False,2023-Feb-06 16:17,39163.8902638464,0.0936165207,14004832.093530909,Earth
2023-02-06,54337032,(2022 YO6),54337032,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54337032,21.74,0.1192765246,0.2667104172,True,2023-Feb-06 14:00,48292.9245476338,0.03103083,4642146.0723321,Earth
2023-02-06,54339185,(2023 BD),54339185,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54339185,22.65,0.0784431412,0.1754041962,False,2023-Feb-06 07:21,45430.1700287911,0.0916212493,13706343.742018991,Earth
2023-02-06,54339881,(2023 BT1),54339881,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54339881,25.35,0.0226232491,0.0505871228,False,2023-Feb-06 10:31,31543.5726722399,0.0431509633,6455292.198128171,Earth
2023-02-06,54340474,(2023 CC),54340474,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54340474,26.02,0.0166170902,0.0371569432,False,2023-Feb-06 12:17,32471.5344137356,0.0100262414,1499904.357545818,Earth
2023-02-06,54340958,(2023 CO),54340958,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54340958,25.06,0.0258556212,0.0578149266,False,2023-Feb-06 14:11,23666.4743139159,0.0154102993,2305347.951342491,Earth
2023-02-06,54341513,(2023 CQ1),54341513,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341513,23.97,0.0427124985,0.0955080501,False,2023-Feb-06 07:08,48109.9038069143,0.108911562,16292937.69357294,Earth
2023-02-06,54341527,(2023 CB2),54341527,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341527,23.36,0.0565659358,0.1264852778,False,2023-Feb-06 16:51,87417.5926275756,0.0693003093,10367178.661621191,Earth
